Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Малик,Прохір,Павлович,male,1987-08-23,Менеджер з продажу,село Тиврів,"парк Десятого квітня, буд. 8 кв. 25, Вінниця, 13740",+380 68 131-59-54,vira69@example.org
Шутько,Варвара,Федорівна,female,1943-08-23,Асистент керівника,місто Полонне,"сквер Калнишевського Петра, буд. 046, Берестечко, 82519",268-40-11,vdovychenkoiakiv@example.com
Іващенко,Надія,Петрівна,female,1979-03-23,Бухгалтер,місто Миронівка,"вулиця Дворянська, буд. 7 кв. 3, Баштанка, 29621",092 215-26-28,zabilaustym@example.net
Артюх,Ярослав,Захарович,male,1946-01-16,Інженер з якості,хутір Ромни,"сквер Совіньйонівський, буд. 42, Ужгород, 15541",+380 (61) 966-34-08,ihnat98@example.net
Авдєєнко,Омелян,Петрович,male,2001-02-09,Бухгалтер,селище Новоселиця,"набережна Байдарочний, буд. 11 кв. 12, Ватутіне, 78980",090 623 08 55,svystunavrelii@example.net
Шаповал,Ганна,Тарасівна,female,1996-09-02,Менеджер з закупівель,село Заводське,"провулок Трудовий, буд. 5 кв. 2, Краматорськ, 97925",297 32 01,teodorredko@example.net
Вдовиченко,Мирон,Назарович,male,1984-04-05,Програміст,місто Сміла,"сквер Гагаріна, буд. 5, Ірпінь, 82656",+380 (21) 413-55-57,nestor26@example.com
Аронець,Марія,Костянтинівна,female,1975-11-24,Кадровий менеджер,село Бобринець,"сквер Радіальна, буд. 7, Гребінка, 80827",+380 11 098-32-15,dsalii@example.net
Дурдинець,Болеслав,Борисович,male,1956-04-18,Аналітик даних,хутір Монастириська,"парк Марсельська, буд. 1, Красилів, 38826",+380 35 701-99-53,demiantytarenko@example.net
Палій,Марко,Іванович,male,1951-09-20,Офіс-менеджер,село Попасна,"площа Грецький, буд. 682, Валки , 27599",663-64-81,irynakozak@example.org
Артимович,Альбіна,Геннадіївна,female,1970-02-09,Менеджер з закупівель,село Хуст,"набережна Шовкуненка, буд. 895 кв. 40, Пирятин, 68364",110-26-94,hordii41@example.com
Дараган,Марко,Андрійович,male,1938-09-27,Аудитор,хутір Лубни,"шосе Офіцерський 2-й, буд. 52, Житомир, 01223",052 639-00-07,whavryshkevych@example.net
Лукаш,Феофан,Михайлович,male,1945-05-23,Менеджер з маркетингу,селище Гайворон,"набережна Штурвальна, буд. 5 кв. 2, Узин, 47181",+380 (44) 401-02-70,ioliinyk@example.net
Філіпенко,Веніямин,Григорійович,male,1940-05-11,Копірайтер,місто Чигирин,"шосе Дворянська, буд. 86 кв. 10, Дебальцеве, 63639",022 622 58 01,avasylenko@example.net
Гаєвський,Левко,Зеновійович,male,2007-07-01,HR-менеджер,селище Белз,"сквер Теліги Олени, буд. 476 кв. 61, Умань, 61693",030 962-34-68,sbabych@example.net
Аврамчук,Ярослава,Ярославівна,female,1991-03-15,Аудитор,хутір Керч,"узвіз Республіканська, буд. 973 кв. 3, Бахмач, 56152",+380 (71) 743-45-25,ebezborodko@example.net
Мазур,Арсен,Ігорович,male,1975-02-19,Менеджер з продажу,село Овруч,"вулиця Зоринська, буд. 452 кв. 1, Шаргород, 32322",+380 27 109 85 01,sirobabaveniiamyn@example.org
Масляк,Теодор,Іванович,male,1989-10-03,PR-менеджер,хутір Федорівка,"шосе Рівності, буд. 331 кв. 10, Бунге , 91098",+380 70 086-37-55,riabetsolha@example.net
Акименко,Руслан,Леонідович,male,1974-10-26,Аудитор,селище Сквира,"провулок Ковиловий, буд. 076 кв. 760, Костопіль, 72466",007 646 10 69,masliaksviatoslava@example.net
Данько,Спас,Данилович,male,1942-04-15,Програміст,місто Кремінна,"площа Крижанівський, буд. 38 кв. 146, Макіївка, 57944",+380 98 295-86-63,veresliliia@example.com
Титаренко,Аніта,Данилівна,female,1949-03-23,PR-менеджер,хутір Лубни,"площа Садова 2-га, буд. 4, Сімферополь, 24771",+380 (83) 086-74-71,zvasylashko@example.org
Іщенко,Мирослав,Станіславович,male,1961-04-08,Аудитор,місто Валки ,"шосе Проектований 4-й, буд. 5, Берислав, 65360",+380 60 983-42-82,tkharchenko@example.com
Стус,Богданна,Олександрівна,female,1959-07-26,HR-менеджер,місто Кіцмань,"шосе 7-ма Суворовська, буд. 34, Конотоп, 88812",+380 (72) 668-23-39,feofan44@example.com
Царенко,Ростислав,Володимирович,male,1989-12-13,Дизайнер,селище Стебник,"шосе Пролетарський 3-й, буд. 41 кв. 8, Сквира, 23524",+380 26 903 36 78,pustovitadam@example.org
Голик,Вʼячеслав,Павлович,male,1943-10-11,Менеджер з продажу,хутір Дебальцеве,"площа Травневий 4-й, буд. 1, Нетішин, 95026",+380 (29) 677-15-05,erika25@example.org
Сич,Руслан,Павлович,male,1988-03-07,Аудитор,місто Тиврів,"сквер Віри Фігнер, буд. 061 кв. 79, Тальне, 83609",+380 42 228 88 20,amamchur@example.com
Цюцюра,Сергій,Ігорович,male,1941-09-12,Офіс-менеджер,хутір Бурштин ,"проспект Композитора Глинки, буд. 638 кв. 543, Шепетівка, 53144",+380 40 216 21 89,leontiiiermolenko@example.com
Яремків,Соломон,Володимирович,male,1944-12-08,Копірайтер,селище Єнакієве,"узвіз Ярморочна площа, буд. 79 кв. 95, Вилкове, 92942",066 023-89-79,zakharbebeshko@example.net
Авдєєнко,Азар,Ігорович,male,2007-09-12,Аналітик даних,село Лутугине,"узвіз Туристський, буд. 10, Покров, 01659",034 879 39 70,zabashtaemiliia@example.net
Оробець,Семен,Леонідович,male,1942-10-09,Менеджер з продажу,хутір Коломия,"сквер Офіцерський 1-й, буд. 6 кв. 5, Перещепине, 22208",699-84-51,mariia81@example.org
Шевченко,Варвара,Геннадіївна,female,2005-05-30,Менеджер з закупівель,місто Сулимівка (Слов'янськ),"проспект Левітана, буд. 9 кв. 62, Кремінна, 42034",080 493 43 97,marko39@example.net
Юрченко,Спас,Олексійович,male,1950-10-18,Програміст,село Ватутіне,"парк Новаторів, буд. 797 кв. 6, Запоріжжя, 21004",386-36-84,illia52@example.net
Ажажа,Олександр,Григорійович,male,1975-01-14,Аудитор,селище Надвірна,"проспект Короткий, буд. 775, Миколаївка , 02143",+380 78 541 71 70,gprykhodko@example.org
Ґереґа,Златослава,Михайлівна,female,1952-02-08,HR-менеджер,селище Хмельницький,"сквер Панченка, буд. 9 кв. 567, Коростишів, 91041",+380 (43) 525-97-72,eivasiuk@example.net
Єсипенко,Ада,Михайлівна,female,2003-08-18,Тестувальник,село Березань ,"узвіз Новгородський, буд. 05, Алмазна, 58939",+380 30 407-04-67,andriishynbohdan@example.org
Петрик,Тетяна,Денисівна,female,1981-12-27,Аудитор,село Красилів,"парк Волоколамська, буд. 1, Кам'янське, 26824",307-51-37,tymofii54@example.org
Онищенко,Станіслав,Вікторович,male,1939-06-08,Програміст,хутір Хрестівка,"набережна Сабанєєв, буд. 48 кв. 4, Бучач, 12170",+380 40 804-75-65,dan55@example.org
Яремко,Орест,Федорович,male,2002-11-30,Кадровий менеджер,село Бурштин ,"сквер Лінія 22-га, буд. 45 кв. 55, Радомишль, 56889",487 75 20,rshakhrai@example.com
Онуфрієнко,Олена,Іванівна,female,1996-09-23,Архітектор,селище Червоносів,"провулок Мигдальна, буд. 46 кв. 15, Ізяслав, 28567",073 256 67 36,perebyinisleopold@example.com
Єрмоленко,Оксана,Костянтинівна,female,1971-12-28,HR-менеджер,село Кременчук,"проспект Юннатів 2-й, буд. 279, Сімферополь, 37605",114 16 89,myroslav36@example.com
Аврамчук,Зиновій,Олексійович,male,2002-10-16,Системний адміністратор,хутір Броди,"площа Деревообробний 3-й, буд. 1, Прилуки, 79263",+380 50 501-47-51,demianiukherman@example.net
Вакарчук,Леон,Борисович,male,1954-02-19,Менеджер з продажу,місто Мукачево,"узвіз Мала Арнаутська, буд. 283, Керч, 48681",+380 (86) 253-40-57,vanchenkosolomiia@example.net
Каденюк,Алевтин,Мар'янович,male,2007-08-13,Менеджер з маркетингу,село Бунге ,"вулиця Сабанєєв, буд. 405 кв. 76, Долина , 51490",679-43-24,violetta50@example.org
Колодуб,Дмитро,Остапович,male,1976-03-27,Аудитор,місто Вишгород,"вулиця Фонтанська дорога, буд. 338 кв. 023, Саки , 44089",013 326-14-72,karmaliukiosyp@example.org
Пʼятаченко,Богдан,Сергійович,male,1943-11-20,Інженер з якості,селище Географія Вільнянська,"набережна Мирна, буд. 0, Благовіщенське, 96962",+380 92 868-14-79,jivanychuk@example.net
Лаба,Данна,Борисівна,female,1990-05-07,Інженер з якості,селище Дергачі,"парк Шкільний, буд. 923, Ковель, 59369",059 705-78-79,fareniukparmen@example.org
Дурдинець,Демʼян,Євгенович,male,1980-10-05,Дизайнер,місто Приморськ (Україна),"площа Тетяни Тесс, буд. 93, Арциз, 73458",928 06 35,xbaklan@example.org
Дрозденко,Орина,Тарасівна,female,1989-02-24,Менеджер з продукту,селище Українка ,"сквер 19-та Лінія, буд. 63 кв. 8, Нове Давидково, 63751",+380 (70) 901-96-58,myronfomenko@example.com
Прокопович,Данна,Юріївна,female,1987-02-16,Тестувальник,хутір Хрестівка,"парк Шишкіна 3-й, буд. 5, Очаків, 77404",731-23-18,tetiana47@example.net
Матяш,Юстина,Остапівна,female,1983-08-27,HR-менеджер,хутір Ходорів,"провулок Академіка Воробйова, буд. 8, Кілія, 33383",+380 96 320-52-23,haidaburasolomiia@example.org
Євтушок,Камілла,Ігорівна,female,1953-12-01,Системний адміністратор,селище Соснівка ,"площа Київське, буд. 32 кв. 38, Таврійськ, 87966",419-51-21,tzhaivoron@example.org
Саєнко,Демид,Денисович,male,1994-08-13,Дизайнер,село Скалат,"набережна Флотський 3-й, буд. 864 кв. 293, Остер , 08777",+380 (26) 081-20-46,zbaida@example.org
Власюк,Валентина,Юріївна,female,2004-12-27,Менеджер з закупівель,хутір Хирів,"площа Восьмого березня, буд. 8, Апостолове, 87438",+380 89 163-18-25,ruslan07@example.net
Петрик,Роксолана,Андріївна,female,1944-12-27,Інженер з якості,село Луцьк,"вулиця Чорноморський 8-й, буд. 94, Гуляйполе, 45171",+380 37 847 77 04,xderhach@example.com
Лубенець,Демид,Андрійович,male,1990-11-05,Аудитор,місто Мерефа,"парк Покровський, буд. 415 кв. 2, Антрацит , 23243",+380 (10) 479-02-78,fedir70@example.org
Венгринович,Володимира,Тимофіївна,female,2004-04-03,Кадровий менеджер,село Світлодарськ,"узвіз Лобачевського, буд. 839, Новодружеськ, 90859",708 50 82,iurchyshynostap@example.com
Адамчук,Валентин,Вікторович,male,1983-09-30,Асистент керівника,село Валки ,"сквер Обільна, буд. 0 кв. 739, Вижниця, 53403",027 168-09-69,adamchukandrii@example.net
Михалюк,Вікторія,Павлівна,female,1965-11-15,HR-менеджер,місто Миколаїв,"площа Нежданової, буд. 147 кв. 722, Батурин, 30366",679-91-49,xtsybulenko@example.net
Іщенко,Євген,Тарасович,male,1992-09-18,Архітектор,село Голубівка,"узвіз 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 78 кв. 732, Новий Розділ, 04683",024 545-71-02,iefremvashchuk@example.net
Данченко,Остап,Павлович,male,1955-06-24,Аналітик даних,село Боково-Хрустальне,"набережна Аркадіївський, буд. 6, Семенівка, 80368",+380 45 865 06 64,ievhenhavrysh@example.net
Ґалаґан,Лесь,Геннадійович,male,1997-12-31,HR-менеджер,селище Рожище,"вулиця Чорноморський 12-й, буд. 93 кв. 76, Привілля, 84007",104-97-52,rozaliiamakohon@example.net
Романчук,Вікторія,Олексіївна,female,2006-08-16,Аналітик даних,селище Татарбунари,"парк Карантинний узвіз, буд. 586, Покровськ, 67239",632-37-30,fandriiovych@example.org
Вертипорох,Марина,Зеновіївна,female,1943-07-14,Менеджер з закупівель,місто Стрий,"парк Єрмака, буд. 8, Гола Пристань, 40938",330-70-89,xzasukha@example.net
Безбородьки,Стефан,Петрович,male,1946-03-30,Копірайтер,селище Теплодар,"вулиця Лінія 42-га, буд. 8 кв. 02, Сокиряни, 76037",553 92 69,fabrahamovskyi@example.com
Бандера,Захар,Ігорович,male,1945-07-10,Дизайнер,село Хуст,"вулиця Студентський 1-й, буд. 473 кв. 715, Лозова , 32876",058 343-39-47,babkovitalii@example.com
Артюшенко,Климент,Борисович,male,1975-09-19,Бухгалтер,місто Єнакієве,"проспект Восьмого березня узвіз, буд. 050, Бердянськ, 86982",079 097-47-80,iustymzaika@example.net
Габелко,Ганна,Остапівна,female,1943-04-27,Дизайнер,хутір Жовква,"проспект Круговий, буд. 166 кв. 160, Генічеськ, 51831",096 925 73 03,izhakiosyp@example.com
Гаврюшенко,Василь,Кирилович,male,1975-02-03,Фінансовий аналітик,село Куп'янськ,"парк Академіка Векслера, буд. 95, Берислав, 68840",053 385-33-40,priskamazur@example.com
Гавриленко,Ярема,Мар'янович,male,1980-10-23,Фінансовий аналітик,хутір Бобровиця,"сквер Ковиловий, буд. 7 кв. 0, Алчевськ, 83990",003 597-14-85,apylypenko@example.com
Забашта,Йосип,Давидович,male,1985-10-27,Менеджер з маркетингу,селище Благовіщенське,"сквер Яблочкіної, буд. 4 кв. 017, Буча, 35342",411 26 91,lemeshkovira@example.net
Юрченко,Сніжана,Юріївна,female,1962-06-14,Копірайтер,село Харків,"площа 3-тя Суворовська, буд. 6 кв. 09, Семенівка, 38334",+380 55 303 61 20,gatamanchuk@example.net
Панчук,Георгій,Федорович,male,1955-10-10,Бухгалтер,селище Каховка,"провулок Остапа Вишні, буд. 2 кв. 3, Запоріжжя, 73979",+380 (59) 366-79-44,pylyp45@example.org
Гоголь,Ірина,Олегівна,female,1944-12-14,Менеджер з маркетингу,місто Бердичів,"узвіз Чорноморський 8-й, буд. 608, Охтирка, 77077",081 486 97 35,dzyndrakostiantyn@example.org
Примаченко,Марія,Максимівна,female,2004-10-20,Офіс-менеджер,хутір Чуднів,"парк Щукіна, буд. 0 кв. 5, Федорівка, 68423",+380 47 024 52 76,vasylkomar@example.net
Яценко,Герман,Геннадійович,male,1993-04-29,Менеджер з продукту,хутір Чистякове,"вулиця Павла Кравцова, буд. 4, Коростишів, 13329",+380 74 432-51-51,tovstolishanna@example.com
Якимчук,Наталія,Євгенівна,female,1982-03-09,Менеджер з маркетингу,село Бершадь,"узвіз Капітана Кузнецова, буд. 728, Ясинувата, 45372",009 805 87 82,odemydenko@example.net
Дергач,Орися,Іванівна,female,1976-02-01,Менеджер з закупівель,хутір Тячів,"площа Куликовський 2-й, буд. 169, Костопіль, 20666",099-61-11,vyshniakievhen@example.org
Килимник,Веніямин,Геннадійович,male,1978-07-14,Кадровий менеджер,хутір Нове Давидково,"сквер Тінистий, буд. 31, Кипуче, 78264",+380 (94) 935-62-13,teslenkoboryslav@example.net
Охріменко,Камілла,Леонідівна,female,1974-02-27,Асистент керівника,місто Здолбунів,"шосе Зелений, буд. 051 кв. 3, Бахмут, 49998",+380 (63) 043-67-00,amvrosiivenhrynovych@example.org
Швачко,Єлисей,Юрійович,male,2005-10-23,Системний адміністратор,місто Тернівка ,"вулиця Керченський 1-й, буд. 878, Чистякове, 48980",948 30 65,orysiababii@example.com
Байда,Мілена,Олегівна,female,1947-08-24,PR-менеджер,село Лохвиця,"провулок Крутоярська, буд. 606, Золочів, 46628",+380 93 279-27-52,virashelest@example.net
Петрик,Данна,Ігорівна,female,1968-02-02,Менеджер з маркетингу,село Хрестівка,"сквер Різдвяна, буд. 2, Миколаївка , 32032",475-92-11,uiesypenko@example.net
Свириденко,Станіслав,Вікторович,male,1942-10-20,Менеджер з продажу,село Ананьїв,"шосе Селищна, буд. 9, Кремінна, 51930",+380 (07) 927-75-63,makarenkomykhailo@example.org
Верменич,Анастасія,Борисівна,female,1976-03-25,Менеджер з маркетингу,хутір Кобеляки,"сквер Слєпньова, буд. 536 кв. 70, Горішні Плавні, 31241",+380 37 436-87-81,czakharchenko@example.com
Гузь,Аврелій,Станіславович,male,1979-02-17,PR-менеджер,селище Докучаєвськ,"парк Спортивна, буд. 1, Волочиськ, 22116",020 487 79 47,snizhanabarannyk@example.com
Батюк,Софія,Остапівна,female,1973-08-12,HR-менеджер,село Олешки,"вулиця Преображенська, буд. 712, Почаїв, 29498",470 04 92,ztalan@example.org
Даценко,Сніжана,Василівна,female,1956-11-19,Фінансовий аналітик,селище Львів,"проспект Юннатів 2-й, буд. 4 кв. 6, Малин, 60321",196 37 09,hennadii21@example.net
Базилевич,Дан,Денисович,male,1967-11-12,Архітектор,місто Гірник ,"провулок Восьмого Березня Лінія 4-та, буд. 432 кв. 8, Судова Вишня, 47206",045 462-41-81,svitlana56@example.net
Литвин,Євген,Олександрович,male,2000-04-13,Менеджер з закупівель,село Кодима,"сквер Ялинкова, буд. 617, Бердичів, 94406",+380 26 371-42-86,pavlo30@example.net
Бандурка,Трохим,Павлович,male,1945-11-08,Системний адміністратор,місто Свалява,"парк Москвіна, буд. 3, Угнів, 62207",+380 00 977 80 61,liliiahaidabura@example.com
Пʼятаченко,Христина,Максимівна,female,1980-08-26,Аналітик даних,селище Мала Виска,"парк Ползунова 1-й, буд. 801 кв. 229, Верхівцеве, 31235",088 491 93 86,hermanudovychenko@example.org
Забарний,Охрім,Володимирович,male,1952-11-12,Бухгалтер,село Рубіжне,"площа П'ята, буд. 674 кв. 5, Новоселиця, 95499",+380 80 766-86-34,dankivpanas@example.net
Ємець,Охрім,Кирилович,male,1987-02-22,Програміст,хутір Лисичанськ,"площа Ямська, буд. 29, Заліщики, 81335",+380 41 683-05-49,gkhudiak@example.com
Василечко,Ігор,Захарович,male,1992-09-08,PR-менеджер,село Довжанськ,"парк Сільська, буд. 60 кв. 07, Золотоноша, 56755",412-07-20,bhydenkoviacheslav@example.net
Василевич,Геннадій,Денисович,male,1943-10-22,HR-менеджер,село Енергодар,"парк Сливова, буд. 984 кв. 3, Ямпіль, 96865",+380 48 015-18-33,priskadanchuk@example.com
Василевич,Леон,Іванович,male,1949-02-28,Аналітик даних,село Березань ,"набережна Курортний, буд. 21 кв. 03, Новогродівка, 75474",+380 17 797 51 75,martadzyndra@example.com
Гайденко,Едуард,Юрійович,male,2007-09-28,Фінансовий аналітик,село Тальне,"провулок Альпіністів, буд. 0 кв. 4, Зугрес, 82432",+380 39 898-07-42,adamchukalbert@example.com
Бабиченко,Данна,Леонідівна,female,2005-10-05,Офіс-менеджер,хутір Жданівка,"провулок Шостої 1-й, буд. 2, Кипуче, 74815",+380 73 762 10 07,zandrusenko@example.net
Сич,Валерій,Станіславович,male,1959-09-03,Менеджер з продукту,хутір Теплодар,"узвіз Берегова, буд. 7, Зеленодольськ, 21161",178 96 55,usyktymofii@example.net
Вакуленко,Олександр,Станіславович,male,1966-08-17,HR-менеджер,селище Рожище,"проспект Садова 5-та, буд. 580, Золотоноша, 12321",001 253 02 11,romanetsavrelii@example.net
Гуцуляк,Прохір,Андрійович,male,1949-06-26,Тестувальник,місто Родинське,"вулиця Пересипський міст, буд. 8, Новомосковськ, 46381",984-75-80,shabliidmytro@example.com
Павлик,Франц,Федорович,male,1988-08-10,Копірайтер,місто Решетилівка,"проспект Керченський 3-й, буд. 93, Кам'янка-Бузька, 02620",075 02 56,viterada@example.org
Іваненко,Устим,Григорійович,male,1953-12-17,PR-менеджер,селище Нова Каховка,"шосе Лузанівський 1-й, буд. 887, Любомль, 35386",+380 58 874-47-64,vashchenko-zakharchenkooleh@example.com
Ребрик,Єлисавета,Павлівна,female,1981-08-22,Програміст,селище Кам'янець-Подільський,"парк В’ячеслава Чорновола, буд. 1 кв. 86, Галич, 23468",062 310 08 79,fiukhymenko@example.net
Бараник,Юстина,Борисівна,female,1963-10-27,Тестувальник,село Львів,"площа Льва Толстого, буд. 29 кв. 46, Калинівка , 97629",018 306 59 80,ivasiukvolodymyr@example.com
Пелех,Орест,Павлович,male,1984-12-20,HR-менеджер,село Новомосковськ,"узвіз Каманіна, буд. 792, Українка , 88832",074-62-64,rostyslav88@example.com
Височан,Веніямин,Олександрович,male,1988-10-06,Інженер з якості,село Берегове,"вулиця Ляпідевського, буд. 850 кв. 301, Олександрівськ, 86378",+380 (21) 942-63-00,huziiiustyna@example.net
Чуприна,Віктор,Марківич,male,1988-12-26,Аналітик даних,хутір Генічеськ,"парк Якірний, буд. 65 кв. 4, Новоукраїнка, 82740",238-11-55,dderiazhnyi@example.org
Дашенко,Христина,Остапівна,female,2005-08-21,Інженер з якості,село Новоукраїнка,"площа Чорноморський, буд. 4 кв. 29, Вінниця, 84198",+380 (38) 286-25-51,zhurbaboryslav@example.com
Ющенко,Аніта,Павлівна,female,1972-10-22,Фінансовий аналітик,село Чугуїв,"вулиця Кладовищенська, буд. 745, Вишневе , 93113",+380 22 927-59-75,skorobohatkoadam@example.com
Єфименко,Орест,Леонідович,male,1947-06-30,PR-менеджер,місто Ічня,"сквер Віри Інбер, буд. 4 кв. 5, Токмак, 15601",121-17-06,amaliiazhuravel@example.net
Харченко,Юхим,Давидович,male,1981-02-07,Архітектор,хутір Здолбунів,"узвіз Амбулаторний, буд. 560, Умань, 30632",+380 36 772-09-87,lesfilipenko@example.com
Кальченко,Наталія,Василівна,female,1978-05-13,Бухгалтер,хутір Жовква,"шосе Ковиловий, буд. 54 кв. 26, Харків, 14794",045 498 41 15,maksymsliusar@example.com
Александренко,Алла,Олексіївна,female,2001-09-23,Кадровий менеджер,хутір Вижниця,"сквер Вузький, буд. 382 кв. 9, Корюківка, 53744",+380 00 524-76-58,bohodarbezborodko@example.com
Кармалюк,Гліб,Геннадійович,male,1978-05-24,Аудитор,хутір Надвірна,"набережна Березова, буд. 112, П'ятихатки, 78605",044 440 64 72,vbarabash@example.org
Гаврилів,Сніжана,Назарівна,female,2004-03-11,Офіс-менеджер,селище Гуляйполе,"вулиця Рівний, буд. 5 кв. 048, Лебедин, 74990",+380 04 829 88 58,alinakolesnychenko@example.org
Чорновіл,Віолетта,Андріївна,female,1941-03-17,Аудитор,місто Червоноград,"парк Гонтаренко, буд. 08, Калуш, 18292",+380 58 486-23-50,parmen95@example.org
Лаба,Марія,Олександрівна,female,1950-11-05,Менеджер з продажу,селище Ічня,"провулок Танкерна, буд. 3 кв. 18, Ромни, 76313",+380 (74) 734-86-26,havrylohavrysh@example.net
Вдовенко,Михайлина,Петрівна,female,1998-07-12,Копірайтер,хутір Монастирище,"парк Чорноморський 2-й, буд. 740, Білогірськ, 87229",+380 99 605 92 12,vashchenkopetro@example.com
Тарасенко,Федір,Леонідович,male,1982-10-10,Аналітик даних,хутір Біляївка,"парк Короленка, буд. 86 кв. 52, Рава-Руська, 88904",+380 43 056-28-54,tverdokhliblevko@example.com
Вдовиченко,Мирослав,Максимович,male,1980-02-22,HR-менеджер,місто Надвірна,"площа Мала Арнаутська, буд. 604, Рубіжне, 47904",+380 78 578 80 68,nazar54@example.com
Бабій,Антон,Давидович,male,1998-05-10,Аналітик даних,хутір Кропивницький,"узвіз Ключовий 2-й, буд. 988, Чортків, 84814",365-65-62,levchenkoihnat@example.net
Чабан,Віталій,Юрійович,male,1959-12-15,Менеджер з продажу,село Моршин,"парк Лиманна, буд. 26, Виноградів, 23648",+380 (87) 157-09-09,mchuiko@example.net
Фартушняк,Валентин,Володимирович,male,1989-04-22,Системний адміністратор,місто Гуляйполе,"провулок Цимлянська, буд. 7, Донецьк, 54037",+380 (31) 648-46-04,andriiovychvalerii@example.org
Забарний,Костянтин,Костянтинович,male,1973-10-19,Менеджер з продажу,місто Городок,"провулок Пугачова, буд. 3 кв. 4, Герца, 42016",019 100 97 29,atamaniukrostyslav@example.net
Худобʼяк,Мілена,Федорівна,female,1995-10-26,Аудитор,місто Білопілля,"проспект Ямська, буд. 90, Дубляни, 92878",+380 (85) 819-00-02,ihortovstukha@example.com
Пилипенко,Микита,Тимофійович,male,1958-03-14,Аудитор,село Дніпрорудне,"сквер Латвійський узвіз, буд. 545 кв. 926, Прилуки, 61892",+380 45 915-13-91,rskopenko@example.net
Захаренко,Клавдія,Назарівна,female,1991-03-29,Бухгалтер,хутір Мала Виска,"вулиця Лінія 55-та, буд. 2 кв. 78, Броди, 96024",043 793-91-89,olenabaidak@example.com
Захарченко,Устим,Іванович,male,1941-09-06,Менеджер з продукту,село Нова Каховка,"узвіз Маршрутна, буд. 2 кв. 42, Ананьїв, 85535",+380 (18) 822-68-55,tbabii@example.com
Ніколюк,Руслан,Іванович,male,1958-06-30,Тестувальник,хутір Семенівка,"вулиця Орловська, буд. 3 кв. 8, Житомир, 44414",+380 81 012-67-22,mtereshchenko@example.net
Сагаль,Одарка,Михайлівна,female,1980-08-22,Асистент керівника,село Дніпро ,"провулок Хімічний 3-й, буд. 652, Рожище, 75280",+380 93 609-09-85,fkhomyk@example.com
Козаченко,Ада,Олексіївна,female,1956-07-25,Інженер з якості,село Сокаль,"провулок Старобазарний, буд. 1, Горішні Плавні, 44432",503-39-86,dmytro65@example.org
Авраменко,Амалія,Станіславівна,female,1990-04-19,Програміст,селище Мар'їнка,"набережна Лінія 30-та, буд. 74, Новодністровськ, 04535",+380 01 090 77 77,zhaivoronamvrosii@example.com
Лесик,Орися,Іванівна,female,2003-08-06,Менеджер з маркетингу,селище Подільськ,"вулиця Донецька, буд. 3 кв. 480, Соледар, 71655",+380 (89) 752-73-36,solomon79@example.org
Верхола,Назар,Захарович,male,1988-01-01,Дизайнер,село Козятин,"вулиця Теліги Олени, буд. 384 кв. 873, Устилуг, 78906",+380 (45) 291-95-32,adamsatsiuk@example.org
Дейнеко,Ганна,Романівна,female,1965-04-20,Менеджер з маркетингу,хутір Рава-Руська,"шосе Парковий, буд. 8, Шепетівка, 32742",+380 (61) 451-55-43,solomon00@example.com
Корбут,Єва,Ігорівна,female,1941-10-16,Інженер з якості,селище Довжанськ,"провулок Восьмого березня 1-й, буд. 32 кв. 934, Жданівка, 48078",+380 73 970-15-91,tetianadavydenko@example.com
Нестайко,Андрій,Олегович,male,1985-05-03,Програміст,хутір Боково-Хрустальне,"шосе Басейний 1-й, буд. 6, Тернівка , 80500",671 51 51,tovstolismykhailyna@example.org
Євтушенко,Євген,Євгенович,male,1972-08-08,Фінансовий аналітик,місто Бурштин ,"вулиця Берегова, буд. 1, Міусинськ, 88658",+380 65 141 19 74,apavlychenko@example.com
Вахній,Марко,Михайлович,male,1948-09-18,Дизайнер,село Пустомити,"площа Маковий, буд. 509 кв. 6, Нове Давидково, 77807",717-23-77,hlibartym@example.com
Євтушенко,Євген,Марківич,male,1952-12-17,Фінансовий аналітик,хутір Докучаєвськ,"узвіз Маршрутна, буд. 490 кв. 821, Ладижин, 47462",616-50-42,artemenkoomelian@example.com
Гайда,Франц,Захарович,male,1998-09-24,Архітектор,селище Броди,"сквер Шилова, буд. 85, Олександрівськ, 45921",+380 42 834 96 76,qvalenko@example.com
Скопенко,Ада,Кирилівна,female,1957-09-20,Офіс-менеджер,селище Теребовля,"вулиця Канатний, буд. 270 кв. 91, Долинська, 14136",018 187 18 02,aaronkashchenko@example.org
Кабалюк,Орина,Ярославівна,female,1996-02-09,Менеджер з закупівель,селище Полтава,"парк Серединський, буд. 0 кв. 18, Подільськ, 67259",+380 99 782 11 06,hhavryliv@example.com
Чекалюк,Ліза,Захарівна,female,1951-04-29,Тестувальник,хутір Славута,"площа Софії Перовської, буд. 744, Вознесенівка, 30034",098 762-28-92,rzhurba@example.com
Давиденко,Пилип,Андрійович,male,1985-01-10,Копірайтер,місто Перевальськ,"вулиця Маковий, буд. 1 кв. 785, Березне, 52143",+380 (44) 393-88-27,pmasliak@example.net
Щириця,Пармен,Тарасович,male,1974-04-25,Архітектор,селище Комарно,"проспект Цементний, буд. 47, Хуст, 96422",280 57 49,mariana45@example.org
